Number of patients 
49
58
36
44
64
46
46
39
58
61
51
52
48
24
43
56
44
47
44
48
31
32
45
43
40
45
50
38
29
48
51
44
40
33
34
33
49
46
49
44
41
22
40
43
46
45
49
47
28
47
44
51
48
37
49
50
40
44
48
37
47
48
35
41
46
43
66
51
46
26
32
46
40
30
49
42
27
38
43
36
44
44
50
37
30
46
44
41
52
49
23
30
44
30
35
46
39
37
35
40
31
35
40
34
27
31
43
39
38
39
36
31
32
45
40
44
35
45
37
25
50
34
27
47
36
22
20
50
49
46
26
38
24
40
39
49
42
36
35
24
27
42
33
34
32
52
25
37
29
34
25
36
26
30
35
35
38
34
33
39
25
33
46
40
32
33
34
26
27
39
40
28
47
43
34
36
44
46
47
45
51
31
50
41
45
43
42
42
41
36
44
41
43
40
42
45
45
53
33
43
53
45
41
32
44
46
46
44
39
32
33
48
43
51
47
41
42
35
52
43
34
36
49
27
30
49
35
51
45
50
30
28
46
30
44
35
47
34
34
58
38
41
48
44
30
32
47
37
64
41
52
33
47
58
58
54
61
73
45
46
55
47
53
51
45
52
48
59
42
59
81
79
57
60
89
54
66
69
61
57
44
55
58
68
53
69
40
41
72
55
49
44
51
37
43
85
44
51
46
45
46
40
56
58
53
55
56
37
30
66
49
47
47
54
41
44
62
51
55
55
60
45
57
68
48
44
49
61
47
48
54
47
45
71
61
38
57
62
59
82
66
62
47
52
50
45
68
55
79
50
54
54
59
50
54
74
44
58
56
61
70
77
62
62
50
64
58
71
53
64
49
47
69
54
58
64
71
43
56
66
48
56
55
43
29
44
46
38
45
37
41
30
43
53
46
45
37
43
29
34
47
39
47
52
48
46
32
41
40
45
28
53
23
45
46
37
47
45
41
34
42
37
58
47
41
38
43
28
50
42
49
43
39
28
30
41
46
45
32
35
28
35
49
35
38
45
34
36
25
45
41
38
40
48
33
36
37
47
34
43
40
22
31
48
40
33
30
37
36
31
44
39
39
50
34
25
39
48
47
34
34
29
42
30
45
32
34
31
35
16
30
45
38
39
33
50
27
24
46
27
36
52
42
23
27
41
33
32
46
45
26
23
32
43
39
29
39
30
36
40
30
24
49
50
24
29
32
25
33
36
44
28
26
30
35
40
29
39
35
43
51
33
33
39
47
32
32
44
46
46
41
50
29
33
41
38
39
40
43
32
31
49
64
36
38
50
32
35
48
37
43
31
51
35
34
47
35
40
42
35
37
42
41
41
31
43
36
27
35
41
51
51
32
39
35
39
35
32
45
43
42
28
39
46
44
39
50
53
50
37
68
37
49
49
36
48
45
63
52
51
66
64
34
44
66
40
49
57
55
40
46
56
54
39
59
82
59
45
83
61
43
64
82
59
60
77
57
53
60
61
29
39
59
46
42
45
39
37
41
48
55
48
46
52
41
39
48
47
58
55
59
37
42
62
28
58
35
60
52
42
63
50
45
52
56
42
39
67
52
35
50
51
39
41
55
44
47
37
51
45
42
60
63
42
52
48
39
33
57
43
43
47
49
37
48
55
58
44
76
53
52
63
66
70
54
47
70
56
60
67
48
55
47
67
44
49
58
45
54
61
53
37
44
56
42
60
44
34
39
44
50
55
42
55
56
39
36
49
44
44
57
39
34
37
55
40
34
51
37
31
42
39
57
32
49
43
40
47
54
45
41
48
55
41
46
35
56
55
56
45
36
31
41
38
39
51
49
38
41
44
43
39
41
41
23
37
52
31
43
44
34
35
30
50
49
43
50
43
40
27
49
46
44
36
39
30
45
55
39
45
44
34
40
30
42
43
43
39
46
22
39
45
49
26
34
47
32
25
50
44
38
42
34
33
33
31
38
33
35
38
33
30
46
41
43
30
42
33
33
44
37
41
46
45
35
42
45
35
55
37
46
34
26
48
45
42
37
40
27
32
35
40
36
36
43
38
23
40
34
43
49
47
31
43
44
44
43
39
35
33
39
47
50
29
40
37
30
26
41
40
40
38
55
33
29
58
55
52
48
58
40
33
35
48
39
43
40
29
28
36
51
38
43
56
38
36
53
39
34
35
56
45
35
51
39
46
40
49
38
30
55
60
43
52
42
37
43
39
46
38
57
50
42
37
51
37
41
54
64
39
53
36
45
61
39
66
53
56
68
49
63
64
78
59
65
79
77
62
56
77
97
92
86
82
96
77
97
87
81
90
74
80
82
90
55
53
76
84
51
76
65
50
55
72
64
73
65
50
52
49
70
73
43
70
69
61
55
71
62
56
66
70
48
56
77
57
72
64
69
74
63
82
76
65
68
49
72
58
73
60
57
50
58
44
55
68
60
56
44
58
50
47
62
55
49
59
55
47
33
63
47
53
45
59
41
53
65
62
63
43
66
49
57
62
47
56
64
43
52
53
58
65
47
54
58
43
43
61
51
42
42
68
28
32
51
36
50
55
48
41
38
54
42
49
54
52
40
46
47
51
54
50
46
39
42
37
46
43
42
53
33
31
45
51
45
56
46
45
34
46
35
46
57
55
42
33
44
53
47
52
51
29
30
43
36
36
50
35
35
37
56
47
48
41
48
31
26
47
49
49
33
46
30
32
51
52
40
49
51
35
42
41
33
43
46
47
30
34
38
36
35
38
43
30
31
43
43
42
38
39
20
27
53
36
43
45
30
32
32
44
40
36
33
34
24
37
42
45
33
41
44
36
39
42
41
43
39
41
28
34
39
36
42
38
33
21
25
33
43
46
31
42
31
45
40
43
39
40
50
35
37
49
52
44
39
43
39
38
49
50
50
47
43
44
36
64
42
46
54
70
43
50
47
64
43
42
48
23
46
54
43
43
53
53
42
41
55
35
46
53
51
40
45
37
41
37
40
59
43
35
55
52
57
64
56
46
42
55
65
51
62
55
36
41
59
45
39
53
49
44
43
43
45
51
60
55
50
39
60
52
47
50
44
50
48
54
58
49
63
48
47
46
65
72
67
55
59
46
51
61
60
67
52
48
70
79
82
95
78
69
63
78
66
79
76
55
89
84
64
43
76
68
55
64
64
51
57
60
61
68
54
90
40
53
76
68
54
78
82
55
61
65
65
78
59
78
61
54
64
77
79
48
74
54
65
62
64
57
61
52
50
69
83
83
68
60
73
53
63
58
92
57
56
62
60
74
69
66
66
60
63
56
49
72
73
64
61
54
43
51
56
52
67
64
41
42
45
38
39
47
18
